Date,^GSPC,TSLA,AMZN,META
2018-04-17,2706.389892578125,19.179332733154297,75.19149780273438,167.62661743164062
2018-04-18,2708.639892578125,19.55666732788086,76.39199829101562,165.34071350097656
2018-04-19,2693.1298828125,20.005332946777344,77.84549713134766,167.07005310058594
2018-04-20,2670.139892578125,19.349332809448242,76.37449645996094,165.26121520996094
2018-04-23,2670.2900390625,18.891332626342773,75.89299774169922,164.82388305664062
2018-04-24,2634.56005859375,18.8973331451416,73.00450134277344,158.7115936279297
2018-04-25,2639.39990234375,18.71266746520996,73.00849914550781,158.7115936279297
2018-04-26,2666.93994140625,19.031999588012695,75.89800262451172,173.0929412841797
2018-04-27,2669.909912109375,19.60533332824707,78.63099670410156,172.5264129638672
2018-04-30,2648.050048828125,19.593332290649414,78.30650329589844,170.9461669921875
